Level,Dynamic Obstacles,Avg Path Length,Avg Time,Success Rate
1,1,60.14417063389088,1.1512316703796386,1.0
2,2,62.73406678479181,1.3458527326583862,1.0
3,3,62.73406678479181,1.3715028524398805,1.0
4,4,62.73406678479181,1.3857670307159424,1.0
5,5,62.73406678479181,1.3905233144760132,1.0
6,6,62.76147862218123,1.7818418264389038,1.0
7,7,62.76147862218123,1.773546075820923,1.0
8,8,62.670695378782284,2.15870943069458,1.0
9,9,62.670695378782284,2.3200490474700928,1.0
10,10,75.15891073186039,376.2048983335495,1.0
