Level,Dynamic Obstacles,Avg Path Length,Avg Time,Success Rate
1,1,62.000000000000014,34.22846434116364,1.0
2,2,62.000000000000014,34.60945901870728,0
3,3,62.000000000000014,35.25037398338318,0
4,4,62.000000000000014,35.98345587253571,0
5,5,67.89999999999999,38.944653916358945,1.0
6,6,67.89999999999999,38.60262842178345,0
7,7,67.89999999999998,40.03020851612091,0
8,8,58.39999999999996,34.04085099697113,1.0
9,9,58.399999999999935,38.43864271640778,1.0
10,10,59.199999999999946,38.72017693519592,1.0
