Speed,CustomA*_Time,CustomA*_PathLength,DWA_Time,DWA_PathLength,AStarDWA_Time,AStarDWA_PathLength
0.5,34.00,59.75,24.44,42.65,30.70,56.03
1.0,17.89,63.00,13.78,56.35,13.73,56.35
1.5,0,0,23.49,56.59,25.26,56.59
2.0,0,0,22.38,56.97,18.71,56.97
2.5,0,0,19.59,56.88,20.08,56.88
3.0,0,0,17.97,57.01,18.70,57.01
3.5,0,0,19.91,57.23,17.08,57.23
4.0,0,0,17.97,58.01,18.19,58.01
4.5,0,0,20.07,58.15,18.74,58.15
5.0,0,0,21.80,58.15,17.63,58.15
5.5,0,0,16.38,58.15,17.68,58.15
6.0,0,0,21.78,58.15,21.42,58.15
6.5,0,0,19.05,58.15,16.93,58.15
7.0,0,0,21.94,58.15,21.94,58.15
7.5,0,0,18.75,58.15,20.50,58.15
8.0,0,0,16.01,58.15,17.24,58.15
8.5,0,0,19.16,58.15,19.41,58.15
9.0,0,0,21.56,58.15,17.31,58.15
9.5,0,0,19.93,58.15,21.60,58.15
