Level,Dynamic Obstacles,Avg Path Length,Avg Time,Success Rate
1,1,59.10000000000004,37.739029145240785,1.0
2,2,62.000000000000014,42.606482934951785,1.0
3,3,62.000000000000014,46.649132227897645,1.0
4,4,62.000000000000014,42.228175091743466,1.0
5,5,62.000000000000014,36.2882884979248,1.0
6,6,62.000000000000014,32.244484949111936,1.0
7,7,62.000000000000014,31.454918932914733,1.0
8,8,62.000000000000014,31.53562819957733,1.0
9,9,62.000000000000014,31.565403485298155,1.0
10,10,59.10000000000006,30.25368151664734,1.0
